,lisa_I,lisa_p,lisa_quad,lisa_class,lisa_sig,lisa_label
6756,0.741316764901027,0.026,1,1,True,HH (Hot Spot)
6757,0.025261049862868104,0.432,3,0,False,No Significativo
6758,1.2812492504165378,0.005,1,1,True,HH (Hot Spot)
6759,1.30531144562806,0.001,1,1,True,HH (Hot Spot)
6760,0.8407880208746812,0.005,1,1,True,HH (Hot Spot)
6761,0.26471566184830536,0.257,1,0,False,No Significativo
6762,0.61169401779279,0.048,3,3,True,LH (Low surrounded by High)
6763,1.085966849969726,0.005,1,1,True,HH (Hot Spot)
6764,0.9947691547778229,0.011,1,1,True,HH (Hot Spot)
6765,2.6367477894324343,0.001,3,3,True,LH (Low surrounded by High)
6766,-0.11362889822824836,0.389,4,0,False,No Significativo
6767,0.22642593500857341,0.058,1,0,False,No Significativo
6768,0.9132019725998268,0.04,3,3,True,LH (Low surrounded by High)
6769,-0.2514816711795756,0.234,2,0,False,No Significativo
6770,0.02825909075558281,0.375,3,0,False,No Significativo
6771,0.7604572521560972,0.12,1,0,False,No Significativo
6772,0.04332101833736836,0.407,1,0,False,No Significativo
6773,0.09133368968892214,0.309,3,0,False,No Significativo
6774,1.4893740170162482,0.009,3,3,True,LH (Low surrounded by High)
6775,5.4131065100095785,0.001,3,3,True,LH (Low surrounded by High)
6776,-0.027370500155236926,0.224,4,0,False,No Significativo
6777,0.5385314321661208,0.008,1,1,True,HH (Hot Spot)
6778,-0.053624178455510395,0.391,2,0,False,No Significativo
6779,0.9322945923747908,0.04,3,3,True,LH (Low surrounded by High)
6780,0.2643959175856972,0.113,1,0,False,No Significativo
6781,0.12920140123601015,0.263,3,0,False,No Significativo
6782,-0.4981977877256184,0.092,4,0,False,No Significativo
6783,0.03957464291856098,0.389,1,0,False,No Significativo
6784,0.10822096744988247,0.097,3,0,False,No Significativo
6785,1.3818195475906931,0.001,1,1,True,HH (Hot Spot)
6786,1.2186769562172022,0.003,1,1,True,HH (Hot Spot)
